gen,min,max,avg,std
1,-190.34086730803267,-99.963937519290781,-118.84898840337642,18.533877177171686
2,-226.94243023606788,-96.907210283741492,-113.36794099416893,18.197206241059547
3,-182.99771036490708,-4.7397854918018103,-109.74920730588232,16.025472946530986
4,-189.28247982863928,-4.7397854918018103,-110.11227829490275,18.808064401169229
5,-197.73628302509297,-4.7397854918018103,-111.20178748702854,22.550203871634576
6,-238.90748802811083,-4.7397854918018103,-107.80633915613004,22.10734412690309
7,-186.97909701635734,35.073537558702149,-105.82435489065342,24.033106612951052
8,-293.64911310317598,10.916922370310157,-102.16585236127925,32.676795171628584
9,-178.49231419716813,19.262585002684617,-95.786717772181689,34.455858772869156
10,-190.10893697121469,19.262585002684617,-90.65152420166811,45.140544114290591
11,-180.82971362091155,21.011829827490949,-69.599640995601149,51.023957318146955
12,-232.1823001439441,21.011829827490949,-44.439793484766845,54.084610569053069
13,-180.82158376847761,23.866809072592005,-25.865307273303216,50.425699831784613
14,-180.45272668193181,28.711201809359057,-21.549217606685421,52.737995363313459
15,-268.30970443983881,39.840191004915809,-17.818857709434649,57.452003639779171
16,-156.34883141930334,37.286279769157922,-13.918299675024974,51.69507770367052
17,-185.99857351515749,57.354755037884495,-17.591641090023202,59.846524352045172
18,-172.96344818347148,57.354755037884495,-16.511474735978521,60.508777382410337
19,-180.4902213639806,57.354755037884495,-10.78274048727347,60.310286709354081
20,-188.42356930766954,57.354755037884495,-9.5982277678081065,62.738352177744332
21,-183.03815526577705,81.589222134433484,-6.6333399957762946,66.079642280636165
22,-187.63155995335677,81.589222134433484,-4.2700009332112323,66.763036236382192
23,-222.84848907606067,81.589222134433484,0.34026513868560115,63.572085416741189
24,-176.84817577310861,81.589222134433484,5.2431469646908182,64.543130753971354
25,-175.81931464893739,81.589222134433484,19.274351422138963,58.783444280740824
26,-176.94232564874727,81.589222134433484,16.097262180856266,61.480999372389192
27,-188.71106222597629,81.589222134433484,24.629365460930849,58.268687715770206
28,-160.22813972532262,81.589222134433484,33.760125450527354,48.138845628151948
29,-174.47591621886875,81.589222134433484,25.35693267213777,62.341904697035012
30,-174.51064303652902,81.589222134433484,36.843315802204579,46.927954341974186
31,-171.36952285684958,80.306861142344559,35.536243531400032,50.465110286704594
32,-160.38079863831308,80.306861142344559,39.3929464318242,47.578168786740513
33,-161.84385464686622,80.306861142344559,34.957013142345744,55.867921959580073
34,-165.93699953055267,80.306861142344559,34.331233328422925,57.725515537039044
35,-179.23213681593433,93.068350394423604,32.252985497706234,61.907501270665868
36,-155.93209479168718,95.687760415301057,34.83167670961118,57.437466515953631
37,-176.00246248169896,106.42027714009291,38.207762271141462,56.579035218091398
38,-134.29476420874286,106.42027714009291,30.815286866557393,65.137619580568852
39,-178.84603556417005,107.53859951451425,31.03409270542851,66.821276708044962
40,-178.1909335836979,107.53859951451425,32.818851119831805,66.781178710117032
41,-168.68595646660478,117.49441568371363,43.046746052558611,74.106207911796488
42,-172.54771344959681,114.26138402766131,37.421590914401961,80.372728183158358
43,-172.70422221415578,114.54858307401867,44.300971099568095,81.831888557620019
44,-170.48115907211741,114.54858307401867,37.687544916377263,87.049292263813413
45,-173.40823557529347,114.54858307401867,43.704846346830273,86.76230279227866
46,-167.86477244263523,117.43210912582614,40.598448512933444,86.037212700360541
47,-124.7640375907345,119.48534833702873,61.042725859173885,76.40555567224493
48,-172.23905136832397,131.11756918759934,62.194705450363251,78.814861360555199
49,-183.50401318521847,122.19902815257846,52.794935731831956,85.52643834408542
50,-183.27728512457543,128.23243461470594,40.333094021475716,91.718139214500766
51,-220.07576950950173,130.71863995132807,59.009383659187669,82.222072700327956
52,-172.89245607098394,128.23243461470594,55.278286889440913,85.380441947799028
53,-183.19998984963203,130.79150661969783,56.647807147323874,84.223908454723386
54,-183.19939949820377,130.79150661969783,50.324872681255776,87.102706994746654
55,-136.47167612132938,135.6702502414683,56.617958257857545,85.131547353881629
56,-179.39290497757696,135.6702502414683,54.523027374266157,84.859314704146954
57,-183.26472605233502,135.6702502414683,52.237869229287135,88.80350947261293
58,-182.9720773975493,137.84751890037631,58.597236093237342,88.924847150626405
59,-171.30348539353957,138.29631905356729,53.401693823207104,87.98724539930204
60,-183.22951577426514,139.00962015613632,63.309848644827014,87.669600873775792
61,-183.52540514832731,138.29631905356729,42.885450241689462,94.52908475392563
62,-183.14020598987486,138.29631905356729,45.311134567273221,97.319968348255713
63,-174.50424515818719,138.29631905356729,48.76840663347047,96.21640798851368
64,-183.31658900932447,137.84751890037631,52.63032327650707,98.947283079034491
65,-184.23956070682308,137.84751890037631,41.80773963965455,99.682102654218269
66,-171.81994106810953,137.84751890037631,37.78412158506157,101.49460190982809
67,-134.25241021734672,138.77389591510865,39.017156681728103,98.078247772957397
68,-171.02181040375643,138.77389591510865,45.01438544644644,97.215969078896308
69,-177.92794927834746,138.77389591510865,58.331409018469479,95.214817149829457
70,-172.32383732754948,138.77389591510865,33.931370558261122,102.23212715065328
71,-172.32383732754948,138.77389591510865,35.488900288934623,100.7054568540058
72,-129.85394997413943,138.77389591510865,37.284659489826787,100.92049558188543
73,-173.68683582983596,138.77389591510865,42.754970157408501,104.68928837156098
74,-183.52994782035157,138.77389591510865,29.636478844746875,105.08302390446748
75,-158.61810852787457,138.77389591510865,22.491501855673292,100.96965662483063
